,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
1542,2019.05.13,1.12349,1.12631,1.12183,1.12308,53225,0,2
1543,2019.05.14,1.12308,1.12436,1.12008,1.12066,46309,0,2
1544,2019.05.15,1.12066,1.12242,1.11776,1.12057,54895,0,3
1545,2019.05.16,1.12063,1.12236,1.11658,1.11735,44079,0,3
1546,2019.05.17,1.11734,1.11839,1.11548,1.11565,50937,0,4
1547,2019.05.20,1.11625,1.11744,1.11503,1.11679,39725,0,3
1548,2019.05.21,1.11679,1.11876,1.11416,1.11631,49233,0,4
1549,2019.05.22,1.11631,1.11799,1.11483,1.11561,40136,0,3
1550,2019.05.23,1.11561,1.11871,1.11066,1.11818,56495,0,3
1551,2019.05.24,1.11819,1.12118,1.11769,1.12044,46410,0,3
1552,2019.05.27,1.12094,1.1215,1.11865,1.11927,22734,0,2
1553,2019.05.28,1.1193,1.11981,1.11586,1.1165,47762,0,1
1554,2019.05.29,1.1165,1.11721,1.1124,1.11368,51766,0,3
1555,2019.05.30,1.1137,1.1143,1.11157,1.11326,39518,0,2
1556,2019.05.31,1.11327,1.11795,1.11248,1.11676,62867,0,4
1557,2019.06.03,1.11713,1.12616,1.11598,1.1245,59334,0,3
1558,2019.06.04,1.12451,1.12769,1.12263,1.12521,66729,0,3
1559,2019.06.05,1.12521,1.13061,1.12194,1.12278,68864,0,1
1560,2019.06.06,1.12277,1.13084,1.12,1.1277,65414,0,3
1561,2019.06.07,1.1277,1.13474,1.12509,1.13322,63561,0,4
1562,2019.06.10,1.13165,1.1324,1.12897,1.13143,41296,0,3
1563,2019.06.11,1.13144,1.13371,1.1301,1.13279,54735,0,3
1564,2019.06.12,1.13274,1.1343,1.1282,1.12923,55804,0,3
1565,2019.06.13,1.12923,1.13033,1.12679,1.12776,46639,0,3
1566,2019.06.14,1.12777,1.12888,1.1202,1.12103,56705,0,4
1567,2019.06.17,1.12142,1.12467,1.12033,1.12209,35871,0,2
1568,2019.06.18,1.12209,1.12425,1.11809,1.11947,69922,0,2
1569,2019.06.19,1.1195,1.12538,1.11868,1.12353,61053,0,2
1570,2019.06.20,1.12353,1.13173,1.1234,1.12918,79175,0,2
1571,2019.06.21,1.12921,1.13773,1.12827,1.13699,71807,0,1
1572,2019.06.24,1.13743,1.14036,1.13708,1.13968,50124,0,3
1573,2019.06.25,1.13969,1.14116,1.13437,1.13653,73819,0,2
1574,2019.06.26,1.13654,1.13909,1.1347,1.13728,61841,0,3
1575,2019.06.27,1.13727,1.13811,1.13474,1.13678,52572,0,2
1576,2019.06.28,1.13677,1.13931,1.13501,1.13693,51249,0,3
1577,2019.07.01,1.13681,1.13707,1.12798,1.12857,59177,0,2
1578,2019.07.02,1.12854,1.13212,1.12748,1.12897,47100,0,2
1579,2019.07.03,1.12898,1.13111,1.12682,1.12868,48073,0,2
1580,2019.07.04,1.12868,1.12947,1.12727,1.12861,19697,0,3
1581,2019.07.05,1.12861,1.12864,1.1207,1.12248,46791,0,3
1582,2019.07.08,1.12285,1.12343,1.12069,1.12161,30621,0,1
1583,2019.07.09,1.12161,1.12187,1.11932,1.12058,30838,0,2
1584,2019.07.10,1.12058,1.12642,1.12018,1.12595,52977,0,2
1585,2019.07.11,1.12595,1.12857,1.12451,1.12564,55112,0,1
1586,2019.07.12,1.12563,1.12748,1.12383,1.12699,44948,0,2
1587,2019.07.15,1.12717,1.12838,1.12531,1.1261,36781,0,2
1588,2019.07.16,1.12611,1.12634,1.12018,1.12106,43238,0,1
1589,2019.07.17,1.12106,1.12336,1.11997,1.12271,34192,0,2
1590,2019.07.18,1.12271,1.1282,1.12051,1.12494,55637,0,2
1591,2019.07.19,1.12492,1.12684,1.12033,1.12194,49777,0,1
1592,2019.07.22,1.12177,1.12252,1.12059,1.12083,38007,0,2
1593,2019.07.23,1.12081,1.12088,1.11458,1.11519,36320,0,2
1594,2019.07.24,1.11519,1.11557,1.11269,1.11419,37041,0,2
1595,2019.07.25,1.11419,1.11877,1.11013,1.11463,56556,0,2
1596,2019.07.26,1.11463,1.11509,1.11118,1.1127,35397,0,2
1597,2019.07.29,1.11317,1.11509,1.11129,1.11465,30347,0,2
1598,2019.07.30,1.11465,1.11609,1.11321,1.11578,41717,0,2
1599,2019.07.31,1.11578,1.1162,1.10601,1.1079,66838,0,2
1600,2019.08.01,1.1079,1.10957,1.10269,1.10783,88930,0,2
1601,2019.08.02,1.10783,1.11163,1.10699,1.1105,90806,0,2
1602,2019.08.05,1.11057,1.12262,1.11054,1.12247,86377,0,2
1603,2019.08.06,1.12247,1.12495,1.11673,1.12015,79244,0,2
1604,2019.08.07,1.12015,1.12419,1.1179,1.12048,100017,0,2
1605,2019.08.08,1.12048,1.12327,1.11768,1.11855,68591,0,2
1606,2019.08.09,1.11855,1.12229,1.11833,1.11998,50920,0,2
1607,2019.08.12,1.12021,1.12306,1.11619,1.12144,59300,0,2
1608,2019.08.13,1.12144,1.12286,1.11698,1.11747,74329,0,2
1609,2019.08.14,1.11748,1.11907,1.11305,1.11439,72802,0,2
1610,2019.08.15,1.11439,1.11584,1.10914,1.11101,93335,0,1
1611,2019.08.16,1.111,1.11121,1.10663,1.10893,48791,0,2
1612,2019.08.19,1.1095,1.11137,1.1076,1.10819,37978,0,2
1613,2019.08.20,1.10822,1.11067,1.10654,1.1099,59139,0,2
1614,2019.08.21,1.10989,1.1107,1.108,1.10911,40078,0,1
