,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
241,2014.05.07,172.686,172.982,172.142,172.707,116165,0,1
242,2014.05.08,172.704,172.848,171.861,172.027,103593,0,1
243,2014.05.09,172.032,172.296,171.217,171.607,75927,0,1
244,2014.05.12,171.759,172.501,171.688,172.403,65811,0,2
245,2014.05.13,172.402,172.731,171.912,172.064,83742,0,1
246,2014.05.14,172.058,172.353,170.599,170.662,76169,0,1
247,2014.05.15,170.658,171.019,170.161,170.422,75998,0,1
248,2014.05.16,170.421,170.98,170.217,170.604,64190,0,3
249,2014.05.19,170.812,170.95,170.02,170.602,56332,0,6
250,2014.05.20,170.601,170.92,170.375,170.494,53156,0,2
251,2014.05.21,170.494,171.475,169.805,171.376,64800,0,1
252,2014.05.22,171.374,171.846,171.216,171.658,70503,0,1
253,2014.05.23,171.656,171.792,171.272,171.544,58422,0,1
254,2014.05.26,171.639,171.783,171.459,171.638,34152,0,6
255,2014.05.27,171.638,171.959,171.267,171.421,54233,0,5
256,2014.05.28,171.422,171.466,169.879,169.987,54159,0,6
257,2014.05.29,169.989,170.183,169.525,170.096,54116,0,5
258,2014.05.30,170.096,170.691,169.774,170.445,50013,0,10
259,2014.06.02,170.683,171.616,170.581,171.509,66569,0,1
260,2014.06.03,171.503,171.812,171.267,171.683,65911,0,1
261,2014.06.04,171.68,172.067,171.354,171.862,66349,0,3
262,2014.06.05,171.862,172.306,171.602,172.138,73618,0,1
263,2014.06.06,172.137,172.497,171.825,172.148,63229,0,1
264,2014.06.09,172.481,172.521,171.995,172.196,52709,0,8
265,2014.06.10,172.196,172.233,171.336,171.338,64425,0,4
266,2014.06.11,171.338,171.797,170.957,171.252,62929,0,2
267,2014.06.12,171.252,172.481,171.022,172.446,65850,0,8
268,2014.06.13,172.453,173.349,172.382,173.097,57067,0,4
269,2014.06.16,173.111,173.142,172.723,172.961,56894,0,2
270,2014.06.17,172.962,173.439,172.818,173.29,60324,0,1
271,2014.06.18,173.293,173.777,172.852,173.217,67153,0,2
272,2014.06.19,173.217,173.779,173.003,173.645,64907,0,1
273,2014.06.20,173.643,174.086,173.537,173.66,52096,0,2
274,2014.06.23,173.752,173.818,173.172,173.44,52012,0,1
275,2014.06.24,173.44,173.707,172.932,173.064,58149,0,1
276,2014.06.25,173.064,173.1,172.723,172.906,55832,0,1
277,2014.06.26,172.906,173.435,172.603,173.014,60088,0,1
278,2014.06.27,173.016,173.077,172.454,172.687,54210,0,3
279,2014.06.30,172.788,173.395,172.366,173.302,51623,0,8
280,2014.07.01,173.301,174.28,173.276,174.109,44349,0,15
281,2014.07.02,174.11,174.785,173.988,174.733,40841,0,14
282,2014.07.03,174.733,175.364,174.495,175.283,46792,0,4
283,2014.07.04,175.284,175.336,174.824,175.055,35029,0,4
284,2014.07.07,175.155,175.177,174.276,174.433,40178,0,4
285,2014.07.08,174.43,174.538,173.715,173.881,43179,0,4
286,2014.07.09,173.881,174.407,173.798,174.184,46514,0,4
287,2014.07.10,174.188,174.297,172.954,173.51,48689,0,4
288,2014.07.11,173.515,173.798,173.114,173.231,61257,0,4
289,2014.07.14,173.548,174.008,173.346,173.497,76875,0,6
290,2014.07.15,173.5,174.546,173.28,174.281,84409,0,1
291,2014.07.16,174.274,174.437,173.998,174.189,47872,0,1
292,2014.07.17,174.179,174.209,172.741,173.003,54150,0,5
293,2014.07.18,172.975,173.582,172.669,173.001,46430,0,1
294,2014.07.21,173.183,173.183,172.789,173.11,48312,0,10
295,2014.07.22,173.093,173.462,172.969,173.156,74157,0,1
296,2014.07.23,173.152,173.331,172.597,172.974,81976,0,8
